"","unsc.r.val","unsc.p.val","scr.r.val","scr.p.val","steiger.p"
"1",0.277969628520281,0.0217254838531764,-0.19613407695314,0.108936989879713,0.00376835444577887
"2",0.278187582459045,0.0216183439398754,-0.198042403471918,0.105468553006962,0.00320471383348352
"3",0.280023759579307,0.0207334389864386,-0.198042403471918,0.105468553006962,0.00305497364892929
"4",0.277969628520281,0.0217254838531764,-0.213695679747573,0.0801556980167711,0.00256156485952767
"5",0.277969628520281,0.0217254838531764,-0.191009539638369,0.118687391132805,0.00325386285057198
"6",0.277969628520281,0.0217254838531764,-0.200013728571287,0.101976142318674,0.00272048753010136
"7",0.278403584719472,0.0225336073010785,-0.217320618785461,0.0773037777570905,0.00189887902126211
"8",0.278403584719472,0.0225336073010785,-0.192126356881488,0.119333684807748,0.00340727166692898
"9",0.278403584719472,0.0225336073010785,-0.203509297273666,0.0985789133041852,0.00335387425622401
"10",0.270665199423572,0.0255865010796155,-0.198042403471918,0.105468553006962,0.00376649490082613
"11",0.278403584719472,0.0225336073010785,-0.1894116892689,0.124745031133962,0.00501416145883468
"12",0.296104030002507,0.0142175621632521,-0.198042403471918,0.105468553006962,0.00221741315601786
"13",0.277969628520281,0.0217254838531764,-0.221738029777046,0.0691721360676125,0.0016018791466658
"14",0.277135439077995,0.0221397282548677,-0.198042403471918,0.105468553006962,0.00339080345251121
"15",0.282314128304694,0.0196730518284269,-0.198042403471918,0.105468553006962,0.00286135609756871
"16",0.277969628520281,0.0217254838531764,-0.185937226432218,0.128983284966611,0.00398461200009619
"17",0.278403584719472,0.0225336073010785,-0.166030518370477,0.17934194704594,0.00420267336587584
"18",0.27008802050071,0.0259148825956854,-0.198042403471918,0.105468553006962,0.00383629839470303
"19",0.268006016483614,0.0271291611691797,-0.198042403471918,0.105468553006962,0.0037895472198345
"20",0.273169938375532,0.0242018987242729,-0.198042403471918,0.105468553006962,0.00343310019282986
"21",0.278403584719472,0.0225336073010785,-0.190568864884837,0.122415934194761,0.00442288196658804
"22",0.277969628520281,0.0217254838531764,-0.179526665032302,0.142948464645151,0.00541653414222212
"23",0.278403584719472,0.0225336073010785,-0.169865167372217,0.169363881721219,0.00618267727456742
"24",0.279944443518069,0.020771015923458,-0.198042403471918,0.105468553006962,0.00308537897571906
"25",0.277965971196875,0.0217272855332618,-0.198042403471918,0.105468553006962,0.00321815384401051
"26",0.276651535415035,0.0223830883708176,-0.198042403471918,0.105468553006962,0.00318163319947098
"27",0.273285844916707,0.0241393935871983,-0.198042403471918,0.105468553006962,0.00352051696226141
"28",0.287997191503906,0.0172398221004055,-0.198042403471918,0.105468553006962,0.0026232913924489
"29",0.278403584719472,0.0225336073010785,-0.2274757408055,0.0641292765914722,0.00171865563942787
"30",0.278403584719472,0.0225336073010785,-0.219372556610895,0.0744812969808289,0.00225894030218276
"31",0.278403584719472,0.0225336073010785,-0.151115791708103,0.222206194255248,0.00845369770739843
"32",0.277969628520281,0.0217254838531764,-0.185602894571405,0.129685009250869,0.00516904008365363
"33",0.278403584719472,0.0225336073010785,-0.185715117733127,0.132411639226829,0.00449627774702089
"34",0.278403584719472,0.0225336073010785,-0.215083700180305,0.0804769837986228,0.0028423379548588
"35",0.277969628520281,0.0217254838531764,-0.214429679743792,0.0790991407150789,0.00254940330936467
"36",0.278403584719472,0.0225336073010785,-0.199596418172977,0.105369492090967,0.00340321342371661
"37",0.282089321357103,0.0197750418288118,-0.198042403471918,0.105468553006962,0.00307910437457125
"38",0.278403584719472,0.0225336073010785,-0.196528776769058,0.110942337995559,0.0036392611983768
"39",0.278403584719472,0.0225336073010785,-0.210441298431483,0.0873918877502574,0.00299304153064867
"40",0.279428747487635,0.0210167503543803,-0.198042403471918,0.105468553006962,0.00313492380920393
"41",0.283604571354384,0.0190962473253891,-0.198042403471918,0.105468553006962,0.00279643834066405
