"","pps","EQ.Total","first.unsc.soc","first.unsc.nonsoc","first.scr.soc","first.scr.nonsoc","unsc.trials","scr.trials","unsc.soc.dur","unsc.nonsoc.dur","scr.soc.dur","scr.nonsoc.dur","unsc.prop","scr.prop","Gender"
"1","pp01",36,19,21,21,18,40,39,81696,84316,95408,74240,0.492109004168373,0.562388003395266,"m"
"2","pp02",35,25,15,18,22,40,40,81532,82284,82844,76160,0.497704741905553,0.521018339161279,"m"
"3","pp03",61,25,15,19,21,40,40,97008,76728,86620,89680,0.558364414974444,0.491321610890528,"f"
"4","pp04",48,19,21,20,20,40,40,98312,76408,82568,91792,0.56268315018315,0.473548979123652,"f"
"5","pp06",31,23,17,19,21,40,40,87744,75868,103832,65808,0.536293181429235,0.612072624381042,"f"
"6","pp07",47,23,17,21,19,40,40,99804,77724,83200,81872,0.562187373259429,0.504022487157119,"f"
"7","pp08",26,23,17,20,20,40,40,92828,86860,88604,89936,0.516606562486087,0.496269743474852,"m"
"8","pp09",33,23,16,22,16,39,38,52804,94288,65608,44808,0.358986212710413,0.594189247935082,"f"
"9","pp10",39,21,19,20,20,40,40,109508,67892,92824,82292,0.617294250281849,0.530071495465863,"f"
"10","pp11",52,22,17,23,17,39,40,93184,81668,85364,91912,0.532930707112301,0.481531623005934,"f"
"11","pp12",48,24,16,19,21,40,40,85052,92824,95628,81368,0.478153320290539,0.540283396234943,"f"
"12","pp13",49,20,20,19,21,40,40,97780,87800,98084,81196,0.526888673348421,0.547099509147702,"m"
"13","pp14",41,22,18,22,18,40,40,94112,81828,74452,84600,0.534909628282369,0.468098483514825,"f"
"14","pp15",46,23,17,19,21,40,40,96808,79564,95940,80004,0.548885310593518,0.54528713681626,"f"
"15","pp16",61,27,13,18,22,40,40,112920,58256,84856,76548,0.659671916623826,0.525736660801467,"f"
"16","pp17",47,24,16,21,19,40,40,98272,79268,94808,78788,0.553520333445984,0.546141616166271,"m"
"17","pp18",47,26,14,20,20,40,40,114032,65740,94416,81392,0.634314576241016,0.53704040771751,"f"
"18","pp19",39,27,13,20,16,40,36,87396,70364,58676,46388,0.553980730223124,0.558478641589888,"f"
"19","pp20",43,24,16,20,19,40,39,68076,97720,67088,66304,0.410600979516997,0.502938706968934,"m"
"20","pp21",46,20,20,19,21,40,40,94824,90160,102080,81612,0.512606495696925,0.555712823639571,"m"
"21","pp23",57,24,16,22,18,40,40,107972,71612,80252,85580,0.601233962936565,0.483935549230547,"m"
"22","pp24",37,22,18,20,20,40,40,101148,78556,86088,81372,0.562858923563193,0.514080974561089,"f"
"23","pp25",30,24,16,22,18,40,40,93600,78892,101156,77524,0.542633861280523,0.566129393328856,"m"
"24","pp26",62,26,14,18,22,40,40,132684,45068,92864,79824,0.746455736081732,0.537755952932456,"f"
"25","pp27",37,19,21,24,16,40,40,100012,81568,98732,72480,0.550787531666483,0.576665187019601,"m"
