pps,Q1.raw,Q2.raw,Q3.raw,Q4.raw,Q5.raw,Q6.raw,Q7.raw,Q8.raw,Q9.raw,Q10.raw,Q11.raw,Q12.raw,Q13.raw,Q14.raw,Q15.raw,Q16.raw,Q17.raw,Q18.raw,Q19.raw,Q20.raw,Q21.raw,Q22.raw,Q23.raw,Q24.raw,Q25.raw,Q26.raw,Q27.raw,Q28.raw,Q29.raw,Q30.raw,Q31.raw,Q32.raw,Q33.raw,Q34.raw,Q35.raw,Q36.raw,Q37.raw,Q38.raw,Q39.raw,Q40.raw,Q1.processed,Q2.processed,Q3.processed,Q4.processed,Q5.processed,Q6.processed,Q7.processed,Q8.processed,Q9.processed,Q10.processed,Q11.processed,Q12.processed,Q13.processed,Q14.processed,Q15.processed,Q16.processed,Q17.processed,Q18.processed,Q19.processed,Q20.processed,Q21.processed,Q22.processed,Q23.processed,Q24.processed,Q25.processed,Q26.processed,Q27.processed,Q28.processed,Q29.processed,Q30.processed,Q31.processed,Q32.processed,Q33.processed,Q34.processed,Q35.processed,Q36.processed,Q37.processed,Q38.processed,Q39.processed,Q40.processed,EQ Cognitive,EQ Social,EQ Emotion,EQ.Total
pp01,3,1,2,2,1,2,0,1,1,0,2,2,1,1,2,1,1,1,1,2,3,2,2,3,2,2,2,2,3,1,1,2,3,2,2,2,2,1,2,2,2,1,1,0,1,0,2,1,1,2,1,0,0,0,1,1,1,1,1,0,2,1,1,2,0,1,1,1,2,1,1,0,0,1,1,1,1,0,1,1,5,6,4,36
pp02,2,3,1,2,2,0,1,0,2,0,3,2,2,3,2,2,1,1,3,2,2,2,2,3,2,3,1,3,2,2,1,1,2,2,2,2,2,2,1,3,1,0,0,0,0,2,1,2,0,2,2,0,1,2,1,0,1,1,0,0,1,1,1,2,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,2,6,4,0,35
pp03,3,0,3,0,2,0,2,0,1,0,3,0,3,3,3,0,2,0,1,1,0,3,2,3,1,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,2,2,2,2,0,2,0,2,1,2,2,2,2,2,2,2,0,2,1,1,0,2,1,2,1,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,10,6,7,61
pp04,2,2,2,1,0,0,1,1,1,0,2,2,2,2,2,1,0,2,0,2,2,3,1,3,1,3,2,2,3,0,1,1,1,2,3,2,2,3,3,2,1,0,1,1,2,2,1,1,1,2,1,0,1,1,1,1,2,0,2,0,1,2,0,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,7,4,7,48
pp06,2,1,2,2,1,1,0,1,1,0,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,0,0,2,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,1,1,2,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,0,1,0,0,1,0,0,0,0,2,5,2,31
pp07,2,1,3,0,0,2,0,1,2,0,1,1,2,2,3,1,1,1,1,0,3,2,1,3,2,2,3,2,3,1,0,0,0,2,1,2,2,1,2,2,1,1,2,2,2,0,2,1,0,2,0,1,1,1,2,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,2,2,2,1,0,1,1,0,1,1,6,8,7,47
pp08,2,1,1,1,2,1,1,2,1,0,2,2,2,1,3,2,1,2,1,3,2,1,1,3,2,2,2,1,3,2,1,1,2,1,1,1,1,2,2,2,1,1,0,1,0,1,1,0,1,2,1,0,1,0,2,0,1,0,1,0,1,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,1,1,1,4,4,2,26
pp09,2,1,3,2,1,1,1,2,2,0,2,2,2,2,2,1,1,2,0,0,1,2,2,3,1,2,1,3,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,0,1,1,1,0,0,2,1,0,1,1,1,1,1,0,2,2,0,1,1,2,1,1,0,2,1,1,1,0,0,1,1,0,0,0,0,1,5,2,5,33
pp10,3,0,2,1,1,1,0,1,2,2,2,1,2,2,3,2,1,2,1,1,3,3,1,3,1,2,2,2,2,0,0,1,2,2,1,2,1,1,0,2,2,2,1,1,1,1,2,1,0,0,1,1,1,1,2,0,1,0,1,1,2,2,0,2,1,1,1,1,1,2,2,1,0,1,0,1,0,0,0,1,5,8,2,39
pp11,2,2,2,1,1,0,0,0,1,1,2,1,3,3,2,0,0,1,1,0,2,3,2,2,1,2,3,3,3,0,0,1,1,2,2,1,1,1,3,3,1,0,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,2,2,7,6,7,52
pp12,3,1,2,0,1,1,0,0,1,2,2,1,3,3,3,0,0,1,2,0,3,3,1,1,1,3,1,3,2,1,1,2,2,3,2,3,1,3,1,2,2,1,1,2,1,1,2,2,1,0,1,1,2,2,2,2,2,1,0,2,2,2,0,0,1,2,0,2,1,1,1,0,0,2,1,2,0,2,0,1,8,9,3,48
pp13,3,2,2,0,0,0,0,0,0,1,1,0,3,2,2,1,1,1,1,0,0,2,1,2,2,3,2,3,2,1,0,1,2,2,2,2,3,2,2,3,2,0,1,2,2,2,2,2,2,1,0,2,2,1,1,1,1,1,1,2,0,1,0,1,0,2,1,2,1,1,2,1,0,1,1,1,2,1,1,2,5,6,4,49
pp14,2,1,1,0,1,1,2,0,2,0,3,3,0,2,2,1,3,1,0,2,2,3,0,2,2,3,2,3,3,1,3,1,3,3,3,3,2,1,2,3,1,1,0,2,1,1,0,2,0,2,2,0,0,1,1,1,0,1,2,0,1,2,0,1,0,2,1,2,2,1,0,1,0,2,2,2,1,0,1,2,8,6,4,41
pp15,2,1,3,0,1,1,0,1,1,0,3,1,1,2,2,2,1,1,0,2,3,2,1,3,2,2,3,2,2,1,0,1,0,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,0,1,1,0,1,1,2,0,2,1,0,2,0,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,5,8,7,46
pp16,3,2,3,1,0,1,0,0,0,0,2,0,2,2,3,1,0,0,1,0,2,3,2,3,2,3,3,3,3,0,0,0,1,3,2,3,2,2,1,3,2,0,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,0,2,2,2,2,2,2,2,1,2,1,2,1,1,0,2,8,6,5,61
pp17,3,2,3,1,1,2,0,1,0,0,0,2,3,2,2,1,2,2,1,3,2,2,3,3,2,3,2,2,3,1,1,0,0,2,2,3,3,2,2,3,2,0,2,1,1,0,2,1,2,2,0,0,2,1,1,1,0,0,1,0,1,1,2,2,0,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,6,5,7,47
pp18,2,1,2,1,1,1,0,0,1,0,2,1,3,2,3,0,1,1,1,1,3,3,1,3,2,2,2,3,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,0,2,0,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,6,8,6,47
pp19,2,2,2,1,0,0,1,1,1,0,2,1,2,2,3,1,0,2,2,2,2,2,1,3,1,2,2,3,2,1,1,2,1,2,2,2,1,1,2,2,1,0,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,0,0,0,1,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,0,0,1,1,6,4,4,39
pp20,2,1,3,1,2,0,0,1,1,0,3,1,0,2,2,1,2,2,1,1,2,3,2,3,1,2,3,2,3,1,2,1,3,2,1,2,1,3,3,2,1,1,2,1,0,2,2,1,1,2,2,1,0,1,1,1,0,0,1,1,1,2,1,2,1,1,2,1,2,1,0,1,0,1,0,1,0,2,2,1,5,6,6,43
pp21,3,1,3,1,1,0,1,0,1,0,2,1,3,2,3,1,1,0,2,0,2,2,2,0,1,2,0,2,2,1,0,1,2,2,2,2,2,3,0,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,0,2,1,1,1,0,1,1,0,1,1,1,2,1,0,1,1,1,1,2,0,1,6,6,3,46
pp23,3,0,3,0,1,2,0,0,1,1,2,0,3,2,2,0,1,1,0,0,2,3,1,3,1,2,3,2,2,1,0,0,1,3,3,2,2,2,2,3,2,2,2,2,1,0,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,0,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,7,9,8,57
pp24,2,2,2,0,1,0,0,1,1,0,2,1,2,2,2,1,2,1,1,1,3,1,1,2,2,2,2,1,2,1,0,1,1,2,2,2,1,1,0,2,1,0,1,2,1,2,2,1,1,2,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,1,1,0,1,1,2,1,1,1,1,1,0,0,0,1,5,7,4,37
pp25,2,0,1,0,1,2,1,0,1,2,2,2,0,1,2,2,2,1,1,1,2,0,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,0,2,1,0,1,2,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,3,8,3,30
pp26,3,0,3,2,0,0,3,1,0,0,1,0,3,3,2,0,1,0,0,2,3,3,3,3,1,3,3,3,3,0,0,1,1,3,3,2,2,2,2,3,2,2,2,0,2,2,0,1,2,2,0,2,2,2,1,2,1,2,2,0,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,9,5,8,62
pp27,2,1,2,0,1,2,0,1,1,0,2,1,2,1,2,2,2,1,1,2,3,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,0,2,1,1,2,1,1,1,0,1,0,0,1,1,0,2,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,8,3,37
pp29,3,1,3,1,0,1,0,0,1,0,3,1,2,3,3,0,1,0,1,0,3,3,1,3,2,3,2,3,3,2,1,1,0,3,2,2,0,2,2,3,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,0,2,0,2,1,2,2,0,1,1,2,2,1,1,0,1,1,2,9,8,8,57
pp30,2,1,2,1,0,0,0,0,1,0,1,2,2,1,2,1,1,2,1,2,1,3,2,3,1,2,2,3,2,2,0,1,1,2,1,1,2,1,3,2,1,1,1,1,2,2,2,2,1,2,0,0,1,0,1,1,1,0,1,0,0,2,1,2,1,1,1,2,1,0,2,1,1,1,0,0,1,0,2,1,3,6,6,40
